key,sweep,arm,family,optimizer,scheduler,lr,spectral_lambda,spectral_target,rank,decode_on,seed,cache,common_val,budget_ep,ran_ep,aborted,has_diag,val_data_min,val_data_final3,nrmse_mean,nrmse_v0,nrmse_T,nrmse_s0,nrmse_a,nrmse_b,time_total_s,final_spectral_radius,final_spike_rate
Spectral/SPEC_l05_t15,Spectral,SPEC_l05_t15,Spectral_sweep,adamw,cosine_no_restart,0.002,0.5,1.5,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,25,23,True,True,0.2422,0.2513,0.286,0.248,0.255,0.426,0.239,0.262,1736.5,1.88,0.171
BigSweep/ADAM_lr5e4_t08,BigSweep,ADAM_lr5e4_t08,AdamW_decodeOFF,adamw,cosine_no_restart,0.0005,1.0,0.8,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2422,0.2434,0.246,0.191,0.261,0.169,0.238,0.369,3714.9,0.819,0.179
BigSweep/ADAM_lr5e4_t12,BigSweep,ADAM_lr5e4_t12,AdamW_decodeOFF,adamw,cosine_no_restart,0.0005,1.0,1.2,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2448,0.248,0.246,0.209,0.262,0.18,0.243,0.336,3727.6,1.252,0.16
Study/PEAK_BASELINE,Study,PEAK_BASELINE,BPTT_champion,prodigy,custom_restart,0.5,0.0,nan,8,True,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,5,True,False,0.2451,0.3142,0.176,0.264,0.147,0.108,0.224,0.134,692.3,,0.059
BigSweep/ADAM_lr2e3_t14,BigSweep,ADAM_lr2e3_t14,AdamW_decodeOFF,adamw,cosine_no_restart,0.002,1.0,1.4,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,14,True,True,0.2466,0.2708,0.281,0.291,0.299,0.251,0.298,0.267,1131.2,1.669,0.155
BigSweep/ADAM_lr5e4_t14,BigSweep,ADAM_lr5e4_t14,AdamW_decodeOFF,adamw,cosine_no_restart,0.0005,1.0,1.4,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,50,False,True,0.2472,0.2509,0.27,0.215,0.291,0.253,0.253,0.338,3710.0,1.497,0.161
Spectral/SPEC_l05_t25,Spectral,SPEC_l05_t25,Spectral_sweep,adamw,cosine_no_restart,0.002,0.5,2.5,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,25,8,True,True,0.2591,0.3082,0.307,0.368,0.185,0.264,0.33,0.389,607.8,2.63,0.177
Spectral/SPEC_l10_t20,Spectral,SPEC_l10_t20,Spectral_sweep,adamw,cosine_no_restart,0.002,1.0,2.0,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,25,8,True,True,0.264,0.3077,0.286,0.405,0.188,0.188,0.346,0.301,606.8,2.435,0.18
Study/EVP_ADAMW,Study,EVP_ADAMW,AdamW_decodeOFF,adamw,cosine_no_restart,0.0005,0.0,nan,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,12,True,False,0.2719,0.2876,0.253,0.388,0.148,0.268,0.286,0.173,904.6,,0.146
Study/EVP_ADAMW_LSR,Study,EVP_ADAMW_LSR,AdamW_decodeOFF,adamw,cosine_no_restart,0.002,0.0,nan,8,False,42,data/cache_1500_launch_cut0.0_ou0.0.pt,True,50,6,True,False,0.272,0.3396,0.35,0.269,0.389,0.255,0.326,0.509,459.0,,0.16
